100	0.1	0.1	0.1	
200	0.1	0.05	0.05	
300	0.06666666666666667	0.06666666666666667	0.03333333333333333	
400	0.07499999999999998	0.075	0.025	
500	0.05999999999999999	0.05999999999999999	0.019999999999999997	
600	0.08333333333333333	0.049999999999999996	0.01666666666666666	
700	0.07142857142857142	0.04285714285714285	0.014285714285714282	
800	0.0625	0.04999999999999998	0.012499999999999995	
900	0.05555555555555555	0.04444444444444443	0.011111111111111108	
1000	0.06999999999999999	0.08	0.009999999999999998	
